GeneID	Ensembl_protein_identifier
11287	ENSMUSP00000107760.2
11298	ENSMUSP00000122895.2
11298	-
11302	ENSMUSP00000067181.4
11302	ENSMUSP00000099308.2
11302	ENSMUSP00000099309.2
11302	-
11302	-
11303	ENSMUSP00000030010.4
11304	ENSMUSP00000013995.9
11304	ENSMUSP00000143560.2
11305	ENSMUSP00000099983.4
11306	ENSMUSP00000033695.6
11307	ENSMUSP00000024829.7
11308	ENSMUSP00000118491.2
11308	ENSMUSP00000120621.2
11308	ENSMUSP00000110191.4
11308	ENSMUSP00000088957.7
11308	ENSMUSP00000077997.8
11308	ENSMUSP00000090860.7
11308	ENSMUSP00000116093.2
11308	ENSMUSP00000120769.2
11308	ENSMUSP00000120462.2
11308	ENSMUSP00000117335.2
11350	ENSMUSP00000075167.7
11350	ENSMUSP00000028190.7
11352	ENSMUSP00000126181.3
11352	ENSMUSP00000027888.7
11354	ENSMUSP00000082758.5
11363	ENSMUSP00000027153.6
11364	ENSMUSP00000072483.7
11370	ENSMUSP00000099634.4
11409	ENSMUSP00000031524.8
11416	ENSMUSP00000125713.2
11416	ENSMUSP00000029402.9
11418	ENSMUSP00000067095.7
11418	ENSMUSP00000021045.7
11419	ENSMUSP00000154379.2
11419	ENSMUSP00000023758.8
11421	ENSMUSP00000119826.2
11421	ENSMUSP00000001964.8
11421	ENSMUSP00000001963.8
11423	ENSMUSP00000083097.4
11423	ENSMUSP00000024099.5
11425	ENSMUSP00000003071.9
11426	ENSMUSP00000101831.3
11426	ENSMUSP00000080755.6
11426	ENSMUSP00000114568.2
11428	ENSMUSP00000100038.4
11429	ENSMUSP00000023116.7
11430	ENSMUSP00000072717.5
11430	ENSMUSP00000122185.2
11430	ENSMUSP00000063325.6
11431	ENSMUSP00000073686.6
11431	ENSMUSP00000106509.4
11432	ENSMUSP00000159089.2
11432	ENSMUSP00000159053.2
11433	ENSMUSP00000065425.7
11433	ENSMUSP00000127128.2
11433	ENSMUSP00000110970.3
11433	ENSMUSP00000149597.2
11434	ENSMUSP00000155369.2
11434	ENSMUSP00000023295.3
11435	ENSMUSP00000028515.4
11438	ENSMUSP00000066338.8
11440	ENSMUSP00000033882.9
11441	ENSMUSP00000032738.6
11443	ENSMUSP00000047270.9
11444	ENSMUSP00000029562.4
11447	ENSMUSP00000072983.3
11448	ENSMUSP00000099616.4
11448	ENSMUSP00000014753.9
11449	ENSMUSP00000027470.8
11450	ENSMUSP00000023593.6
11451	ENSMUSP00000034620.4
11459	ENSMUSP00000034453.5
11461	ENSMUSP00000098066.5
11464	ENSMUSP00000087736.7
11465	ENSMUSP00000071486.7
11468	ENSMUSP00000074658.6
11470	ENSMUSP00000092692.5
11471	ENSMUSP00000092693.4
11472	ENSMUSP00000067708.8
11474	ENSMUSP00000006626.4
11475	ENSMUSP00000048218.9
11477	ENSMUSP00000088453.3
11477	ENSMUSP00000056784.6
11477	ENSMUSP00000108220.3
11479	ENSMUSP00000000544.10
11480	ENSMUSP00000067305.4
11481	ENSMUSP00000150566.2
11481	ENSMUSP00000126108.2
11482	ENSMUSP00000113505.2
11482	ENSMUSP00000113536.2
11482	ENSMUSP00000113297.2
11482	ENSMUSP00000000542.8
11484	ENSMUSP00000021119.3
11484	ENSMUSP00000139131.2
11486	ENSMUSP00000017841.4
11487	ENSMUSP00000063839.7
11488	ENSMUSP00000069466.6
11488	ENSMUSP00000099370.5
11489	ENSMUSP00000065213.5
11490	ENSMUSP00000029676.6
11490	ENSMUSP00000103072.3
11490	ENSMUSP00000074167.7
11491	ENSMUSP00000099087.4
11491	ENSMUSP00000067953.7
11491	-
11492	ENSMUSP00000011400.8
11495	ENSMUSP00000022618.6
11496	ENSMUSP00000049120.8
11496	ENSMUSP00000055000.8
11496	ENSMUSP00000111046.3
11496	ENSMUSP00000086139.5
11496	ENSMUSP00000111043.2
11496	ENSMUSP00000111044.2
11497	ENSMUSP00000033958.8
11498	ENSMUSP00000082427.4
11499	ENSMUSP00000147290.2
11499	ENSMUSP00000052661.8
11499	ENSMUSP00000121272.2
11499	ENSMUSP00000112422.2
11500	ENSMUSP00000022640.8
11501	ENSMUSP00000026546.10
11501	ENSMUSP00000101684.3
11501	ENSMUSP00000117858.2
11502	ENSMUSP00000146545.2
11504	ENSMUSP00000023610.9
11512	ENSMUSP00000093939.5
11512	ENSMUSP00000154421.2
11513	ENSMUSP00000132528.2
11513	ENSMUSP00000096122.3
11513	ENSMUSP00000129252.2
11513	ENSMUSP00000130594.2
11514	ENSMUSP00000154029.2
11514	ENSMUSP00000023007.6
11515	ENSMUSP00000113421.2
11515	ENSMUSP00000113498.2
11516	ENSMUSP00000157279.2
11516	ENSMUSP00000067057.7
11517	ENSMUSP00000066902.6
11517	ENSMUSP00000063784.6
11517	ENSMUSP00000126994.2
11517	ENSMUSP00000130923.2
11517	ENSMUSP00000127319.2
11517	ENSMUSP00000129614.2
11518	ENSMUSP00000109979.3
11518	ENSMUSP00000001108.5
11518	ENSMUSP00000052266.7
11518	ENSMUSP00000109974.2
11518	ENSMUSP00000109977.3
11519	ENSMUSP00000145160.2
11519	ENSMUSP00000145296.2
11519	ENSMUSP00000144849.2
11519	ENSMUSP00000145034.2
11519	ENSMUSP00000032069.6
11520	ENSMUSP00000000466.7
11522	ENSMUSP00000004232.10
11529	ENSMUSP00000087633.6
11532	ENSMUSP00000005964.3
11534	ENSMUSP00000153089.2
11534	ENSMUSP00000047665.10
11535	ENSMUSP00000033054.9
11536	ENSMUSP00000100882.3
11537	ENSMUSP00000151894.2
11537	ENSMUSP00000056836.8
11538	ENSMUSP00000056809.5
11538	ENSMUSP00000085316.6
11539	ENSMUSP00000043522.7
11539	ENSMUSP00000083656.5
11540	ENSMUSP00000101060.2
11541	ENSMUSP00000018644.3
11542	ENSMUSP00000000574.2
11544	ENSMUSP00000002923.9
